,Developer,País de Origen,Año de Fundación
0,The 3DO Company,Estados Unidos,1991
1,Commodore,Estados Unidos,1958
2,Amstrad,Reino Unido,1968
3,Google,Estados Unidos,1998
4,"Atari, Inc.",Estados Unidos,1972
5,Atari Corporation,Estados Unidos,1984
6,"Atari Corporation, Epyx, Inc.",Estados Unidos,1978
7,Atari,Estados Unidos,1972
8,"Coleco Industries, Inc.",Estados Unidos,1932
9,Mattel Electronics,Estados Unidos,1945
10,Apple,Estados Unidos,1976
11,Microsoft Corporation,Estados Unidos,1976
12,Microsoft,Estados Unidos,1975
13,SNK,Japon,1978
14,Nintendo RED,Japon,1996
15,Nintendo IRD,Japon,1975
16,Nintendo,Japon,1889
17,Nintendo R&D2,Japon,1970
18,"Ouya, Inc.",Estados Unidos,2012
19,Philips,Países Bajos,1891
20,Sega,Japon,2000
21,Sega Enterprises,Japon,1965
22,SEGA Enterprises Ltd.,Japon,1965
23,Sinclair Research,Reino Unido,1961
24,Sony Computer Entertainment,Japon,1993
25,Sony,Japon,1946
26,SCEI,Japon,1993
27,"NEC Corporation, Hudson Soft",Japon,1973
28,"Bandai Co., Ltd.",Japon,1950
29,Magnavox / Philips,Estados Unidos,1917
30,Fairchild Semiconductor,Estados Unidos,1957
31,Acorn Computers,Reino Unido,1978
32,Memotech,Gran Bretaña,1980
33,Camputers,Gran Bretaña,1983
34,Tiger Electronics,Estados Unidos,1978
35,Oric Products,Reino Unido,1979
36,Dragon Data,Gales,1982
37,Entex,Estados Unidos,1970
38,APF Electronics,Estados Unidos,1970
39,Radofin,Reino Unido,1974
40,Jupiter Cantab,Reino Unido,1982
41,MGT,Estados Unidos,1977
42,Intelligent Software,Belgica,2000
43,EACA,Noruega,1959
44,Tapwave,Estados Unidos,2002
45,Midway,Estados Unidos,1958
46,Magnavox,Estados Unidos,1917
47,Emerson Radio,Estados Unidos,1948
48,Epoch,Japon,1958
49,Evans & Sutherland,Estados Unidos,1969
50,Sega and Lockheed Martin,Estados Unidos,1995
51,Sammy Corporation,Japon,1975
52,"Steve Wozniak/Steve Jobs, Apple Computer, Inc.",Estados Unidos,1976
53,"Apple Computer, Inc.",Estados Unidos,1976
54,Casio,Japon,1946
55,Coleco,Estados Unidos,1932
56,Fujitsu,Japon,1935
57,Western Technologies/Smith Engineering,Estados Unidos,1982
58,VM Labs,Estados Unidos,1995
59,Sharp Corporation,Japon,1912
60,Tandy Corporation,Estados Unidos,1919
61,NPO Scientific Center,Russia,1947
62,Funtech,Taiwan,1983
63,Game Park,Corea del Sur,1996
64,Hartung,,
65,Interton,Alemania,1962
66,Elecbyte,,1999
67,Senile Team,,2003
68,RCA,Estados Unidos,1897
69,ScummVM Team,,2001
70,Sord Computer Corporation,Japon,1980
71,Texas Instruments,Estados Unidos,1951
72,Team Shanghai Alice (formerly ZUN Soft),China,1996
73,VTech,China,1976
74,Watara,,1992
75,Worlds of Wonder,Estados Unidos,1985
76,NEC Home Electronics,Japon,1925
77,Taito Corporation,China,1953
78,SSD COMPANY LIMITED,China,2009
79,ZAPiT Games,Canada,2003
80,Technosys Research Labs,Nueva Zelanda,1980
81,Exelvision,Francia,1960
82,Exidy,Estados Unidos,1973
83,Micronique,Francia,1975
84,NEC,Japon,1924
85,"Nintendo, Alps Electric",Japon,1948
86,Tsukuda Original,Japon,1973
87,Tomy,Japon,2006
88,Sharp,Japon,1912
89,SEGA/Namco/Nintendo,Japon,1940
90,Nokia,Finlandia,1865
91,Community,,